quarter,wage_sa,cpi_all,cpi_rent,date,real_wage,wage_to_rent,wage_index_2015=100,rent_index_2015=100,cpi_all_index_2015=100,real_wage_index_2015=100,wage_to_rent_index_2015=100,wage_sa_yoy_pct,cpi_rent_yoy_pct
1990Q1,536.341246915213,130.1,149.5,1990-03-31,4.122530721869431,3.5875668689980804,100.0,100.0,100.0,100.0,100.0,,
1990Q3,549.548311579907,134.0,152.5,1990-09-30,4.101106802835127,3.603595485769882,102.46243687962746,102.0066889632107,102.99769408147579,99.4803211793995,100.44678238363478,,
1991Q1,561.685741525699,136.5,155.1,1991-03-31,4.114913857331128,3.621442563028362,104.72544201219947,103.7458193979933,104.91929285165259,99.81523813763482,100.94425261653011,,
1991Q3,582.43968884367,139.4,157.7,1991-09-30,4.178190020399354,3.693339815115219,108.59498354705961,105.48494983277592,107.14834742505765,101.35012452993153,102.94831984962217,,
1992Q1,602.665152757684,141.4,158.9,1992-03-31,4.2621297931943705,3.79273223887781,112.36599016464528,106.2876254180602,108.68562644119908,103.38624696195437,105.71878873262723,12.365990164645279,6.287625418060205
1992Q3,616.512411520905,143.6,161.2,1992-09-30,4.293261918669255,3.8245186818914703,114.94779024861495,107.82608695652173,110.37663335895465,104.14141720992203,106.60480547250579,12.18529809480835,5.7049180327868765
1993Q1,596.601465686007,146.0,163.5,1993-03-31,4.0863114088082675,3.6489386280489726,111.23542504280306,109.36454849498327,112.22136817832438,99.12143012375807,101.71067916757832,6.216238294649767,5.415860735009681
1993Q3,627.746581315466,146.7,165.2,1993-09-30,4.279117800378091,3.7999187730960413,117.04238391620525,110.50167224080268,112.75941583397386,103.79832411382621,105.91910651012522,7.778812697627924,4.755865567533291
1994Q1,633.261506577729,147.9,166.6,1994-03-31,4.281686995116491,3.801089475256477,118.07063324328617,111.43812709030101,113.68178324365874,103.86064492867837,105.95173871471357,5.076841373695129,4.8458149779735615
1994Q3,665.8577273533159,149.4,168.4,1994-09-30,4.456879031816037,3.954024509223966,124.14814843777573,112.64214046822742,114.8347425057648,108.11026848564005,110.21465671880921,8.003945242672184,4.466501240694809
1995Q1,668.3157893172049,151.1,169.0,1995-03-31,4.423003238366677,3.9545312977349405,124.60645030771893,113.04347826086956,116.14142966948502,107.28854523517029,110.22878296452059,12.020473927052233,3.3639143730886945
1995Q3,678.927528971138,152.1,170.9,1995-09-30,4.463691840704392,3.972659619491738,126.58499283357665,114.31438127090301,116.91006917755573,108.2755264145189,110.7340926191908,8.153122482709584,3.4503631961259273
1996Q1,695.3067392028411,153.9,172.3,1996-03-31,4.517912535431066,4.0354424794128905,129.63887137189693,115.25083612040135,118.293620292083,109.59075481146061,112.48410487578984,9.79772684438327,3.421368547418968
1996Q3,709.1692013627451,156.3,176.6,1996-09-30,4.537230974809629,4.0156806419181486,132.22350610577848,118.12709030100335,120.13835511145274,110.05936112835431,111.93326253008993,6.504613858216501,4.869358669833712
1997Q1,738.820714500004,158.9,181.3,1997-03-31,4.649595434235393,4.075128044677352,137.75198509332617,121.27090301003345,122.13681783243659,112.78497961385612,113.5903021039838,10.549642296320961,7.278106508875748
1997Q3,763.279583041258,161.9,188.9,1997-09-30,4.714512557388869,4.040654224675796,142.3123034879919,126.35451505016724,124.44273635664874,114.35967068429737,112.62937729727255,12.424308997743672,10.53247513165594
1998Q1,787.5793423982111,164.2,195.9,1998-03-31,4.796463717406889,4.0203131311802505,146.84295622013104,131.03678929765888,126.21060722521138,116.34755544603561,112.06238874379575,13.270776477897982,13.697040046430642
1998Q3,809.821135716793,166.9,203.4,1998-09-30,4.852133826943038,3.9814215128652557,150.98990435184876,136.05351170568562,128.2859338970023,117.697942217948,110.97832202852204,14.192936489717045,15.175537938844851
1999Q1,833.5171739729069,170.8,210.0,1999-03-31,4.880077130988916,3.9691293998709853,155.40799421392865,140.46822742474916,131.2836279784781,118.3757614006564,110.63569111896348,12.817244781366032,15.83011583011582
1999Q3,901.933724654162,174.2,217.1,1999-09-30,5.177575916499208,4.154462112640083,168.16415478795784,145.21739130434784,133.89700230591853,125.59217300753913,115.80166347673743,18.165577161181478,14.928533615669659
2000Q1,977.743317791952,177.7,223.8,2000-03-31,5.502213380933889,4.368826263592279,182.29873674931395,149.6989966555184,136.587240584166,133.4668860500042,121.77685944603411,24.145373698437012,14.241960183767223
2000Q3,1038.26008110852,182.6,233.4,2000-09-30,5.685980728962321,4.448415086154755,193.58199412782668,156.12040133779263,140.35357417371253,137.92452046018755,123.99532185994038,28.208567956124007,14.749262536873164
2001Q1,1088.54206363216,188.7,246.9,2001-03-31,5.768638387027876,4.408837843791657,202.9569923799355,165.1505016722408,145.04227517294387,139.9295427060393,122.89214402916306,30.596236960984633,17.57142857142857
2001Q3,995.339513436445,191.1,258.9,2001-09-30,5.208474690928545,3.844494065030688,185.57952034477637,173.1772575250836,146.8870099923136,126.3416828720848,107.16160019908871,10.35616988577499,19.25380009212343
2002Q1,991.108723140451,192.3,261.9,2002-03-31,5.153971519191113,3.7843021120292137,184.79069600573337,175.18394648829428,147.8093774019985,125.01960244589657,105.48380699830903,1.3669646322597595,17.024128686327057
2002Q3,985.9332744644612,193.7,263.2,2002-09-30,5.090001416956434,3.745947091430324,183.82574156567182,176.05351170568562,148.88547271329747,123.467883209571,104.41469743186906,-5.039855388467873,12.76778063410453
2003Q1,979.537960577649,196.8,263.3,2003-03-31,4.9773270354555335,3.7202353231205807,182.63334513455726,176.12040133779266,151.26825518831672,120.73474696141211,103.69800644746034,-10.013770408724032,6.642365330093147
2003Q3,1021.99861930531,196.1,262.4,2003-09-30,5.211619680292249,3.8948118113769437,190.55006960277132,175.5183946488294,150.73020753266718,126.41797070535723,108.56415932017649,2.678393202418272,1.351873310158358
2004Q1,1048.45152281454,198.2,262.0,2004-03-31,5.289866411778709,4.001723369521145,195.48217274818015,175.25083612040135,152.34435049961567,128.31599734883065,111.54421689256844,5.785722427342921,0.0381825124093238
2004Q3,1062.78733094146,199.5,262.3,2004-09-30,5.327254791686516,4.051800727950667,198.15506210908103,175.45150501672242,153.3435818601076,129.2229252149947,112.94007543007096,7.795056568989844,-0.3419452887537866
2005Q1,1074.0322974013,201.5,263.0,2005-03-31,5.330185098765757,4.083772993921293,200.25166879829536,175.91973244147155,154.88086087624905,129.29400551195153,113.83127180739604,9.64682744586296,-0.11393847322446193
2005Q3,1160.1175778318,203.9,263.0,2005-09-30,5.689639910896518,4.411093451831939,216.3021368399802,175.91973244147155,156.72559569561878,138.01328103423944,122.95501694896211,13.514593456141322,0.22865853658537993
2006Q1,1164.89708051246,207.9,265.6,2006-03-31,5.603160560425493,4.385907682652334,217.19326775861632,177.65886287625418,159.80015372790163,135.91555620681086,122.25298768792597,11.106432215895378,1.3740458015267354
2006Q3,1183.17671912725,210.6,268.4,2006-09-30,5.618123072778965,4.408259013141766,220.60147824399778,179.5317725752508,161.87548039969255,136.27850104246966,122.87600967763662,11.3277026062349,2.325581395348819
2007Q1,1242.01438198145,214.736,274.595,2007-03-31,5.783913186337876,4.5230771936176914,231.57166992561972,183.67558528428097,165.054573405073,140.30006266915248,126.07645679593635,15.640319661391477,4.4087452471482935
2007Q3,1229.77840897986,217.361,280.033,2007-09-30,5.657769374358142,4.391548171036485,229.29029159196256,187.31304347826088,167.07225211375865,137.24019918989302,122.41021091442225,6.004635433440497,6.4764258555133125
2008Q1,1247.94468907122,221.73,285.44,2008-03-31,5.628217602810715,4.3720035351430075,232.6773665551216,190.92976588628764,170.43043812451958,136.5233634998481,121.86542285590905,7.129179903363281,7.4698795180722755
2008Q3,1272.74298987676,223.804,292.181,2008-09-30,5.686864353973834,4.35600874073523,237.30097157304039,195.43879598662207,172.02459646425828,137.94595450328214,121.41958323836779,7.569982514157059,8.8602831594635
2009Q1,1255.70504516634,223.305,297.841,2009-03-31,5.623273304074427,4.216024809097269,234.1242730050271,199.2247491638796,171.641045349731,136.40342991851517,117.51766484215251,1.1022950606295323,8.465558367778003
2009Q3,1231.49202867114,225.484,298.468,2009-09-30,5.46154950538016,4.126043759033263,229.60979334595518,199.64414715719064,173.31591083781709,132.48050466688886,115.00952901222344,0.1393437776079809,6.583152699860384
2010Q1,1241.48847810822,226.994,297.001,2010-03-31,5.469256800215954,4.18008181153673,231.4736159578791,198.6628762541806,174.47655649500385,132.6674600919851,116.51578811419128,-0.5173475250577764,4.050238228699543
2010Q3,1284.01284377076,227.944,298.627,2010-09-30,5.63301882818043,4.299721203276194,239.4022184860494,199.7505016722408,175.206764027671,136.63982655843114,119.85062189173914,0.8854775853128993,2.2061667254202
2011Q1,1311.68496764934,232.082,301.631,2011-03-31,5.651816890794374,4.348641113311762,244.56164339281113,201.75986622073577,178.38739431206764,137.09581012489005,121.21421766073537,4.4580471105445385,1.2724910270916157
2011Q3,1353.5541724158,234.698,307.755,2011-09-30,5.767216475708357,4.398154936283082,252.36809218027108,205.85618729096987,180.39815526518063,139.89505148170528,122.59436818557138,9.911728285921019,3.111556347749156
2012Q1,1372.66997456016,238.099,313.566,2012-03-31,5.765122804212366,4.377611011908689,255.93220406879453,209.743143812709,183.01229823212913,139.84426540787726,122.02172591506981,10.56646910262382,5.57742229824143
2012Q3,1392.15422280344,241.201,320.889,2012-09-30,5.771759747278992,4.338429247507518,259.5650121653831,214.64147157190635,185.3966179861645,140.0052573692329,120.92957165476153,8.422141535212479,7.454784731454289
2013Q1,1413.27462393493,243.894,327.794,2013-03-31,5.79462645220846,4.311471912039056,263.50287844976174,219.26020066889632,187.46656418139892,140.55993376759577,120.17816167544062,7.744973739208749,8.673843205771291
2013Q3,1444.30764920636,246.152,335.113,2013-09-30,5.8675438314795745,4.309912325712103,269.2889382484287,224.15585284280937,189.2021521906226,142.3286866087644,120.1346896961326,6.704827825884863,8.889538756478377
2014Q1,1517.67083535706,250.507,344.366,2014-03-31,6.058396912489711,4.407144826600361,282.96739139232744,230.3451505016722,192.54957724827057,146.95819925248315,122.84495279195085,10.563417535475871,9.82249351013822
2014Q3,1540.41871354682,253.463,355.055,2014-09-30,6.077489470048173,4.3385354763256965,287.20869826935683,237.49498327759198,194.8216756341276,147.4213263665439,120.93253268160944,10.650004741918151,10.647295482238395
2015Q1,1571.65274079164,256.723,364.881,2015-03-31,6.121978711652793,4.30730221850861,293.03223457659846,244.06755852842807,197.32744043043814,148.5004994426501,120.06193545074002,11.206464347017242,11.314118013142394
2015Q3,1587.93289189382,260.421,377.268,2015-09-30,6.097560841459867,4.2090314892697505,296.0676436926819,252.35317725752506,200.16986933128362,147.9081965141748,117.32273273125722,9.944227794291693,12.579338909561844
2016Q1,1594.33835497363,263.911,389.356,2016-03-31,6.041197051178731,4.094808748224324,297.26193242521015,260.4387959866221,202.85242121445043,146.5409831667488,114.13888291838039,5.051656645858427,13.064588257841958
2016Q3,1732.69199272868,268.777,402.084,2016-09-30,6.446578363210691,4.3092786401067436,323.05775524338725,268.952508361204,206.5926210607225,156.37429526025173,120.11702631511423,12.481884145587262,13.245553505794883
2017Q1,1725.66452153363,273.306,413.613,2017-03-31,6.314038189917639,4.172171864843779,321.74749405511045,276.66421404682274,210.07378939277478,153.15927559793735,116.29530590488937,9.79935177438842,13.355587164034311
2017Q3,1765.52883358367,276.542,421.405,2017-09-30,6.384306302781025,4.189624787517163,329.1801336813411,281.876254180602,212.5611068408916,154.8637653301939,116.78178945518087,11.184096166560487,11.699110446685124
2018Q1,1855.593485045,282.666,435.619,2018-03-31,6.564615075902302,4.25967068710272,345.97254932704067,291.3839464882943,217.2682551883167,159.23750527989918,118.73425200551988,16.386429471283172,11.881928106925299
2018Q3,1885.59261043905,288.435,443.846,2018-09-30,6.5373224831904935,4.248303714439356,351.5658400848541,296.88695652173914,221.70253651037663,158.57547036607733,118.41740849908682,8.824454568499451,10.3863869241253
2019Q1,1968.4931202771693,293.15,452.363,2019-03-31,6.714968856480196,4.351578533781873,367.0225125512968,302.5839464882943,225.32667179093005,162.8846286301338,121.29609545081908,14.071599416538572,9.368661043052317
2019Q3,1981.94864299471,296.859,457.974,2019-09-30,6.676397356976579,4.327644457970781,369.53127405247363,306.3371237458194,228.17755572636435,161.94900189728733,120.62895594694199,12.258072782178896,8.677875203189345
2020Q1,2035.88190263956,299.109,466.794,2020-03-31,6.806488278987126,4.361414034112607,379.58704730412063,312.23678929765885,229.90699461952343,165.10461020653372,121.57025062868425,9.715943661560523,7.156483073511466
2020Q3,2369.1688345786497,301.059,467.283,2020-09-30,7.869450289075063,5.070094213953107,441.727882799433,312.56387959866225,231.40584166026136,190.88882096933236,141.3240337836284,25.645848496775848,5.280435105870063
2021Q1,2503.3308876530104,306.724,467.775,2021-03-31,8.161509655758957,5.3515704936198185,466.74219110519897,312.89297658862876,235.76018447348193,197.9732888942058,149.16991624226873,27.169907878597744,3.4069983619349875
2021Q3,2719.98861467352,312.718,467.277,2021-09-30,8.697895914765123,5.820934081227024,507.137690848436,312.5598662207358,240.36740968485782,210.98438075000968,162.2529779592002,37.23809768166528,2.0313380235559286
2022Q1,2369.1277008300303,323.408,470.529,2022-03-31,7.325507411164938,5.03503014868378,441.7202134753122,314.7351170568562,248.58416602613377,177.69442862618772,140.34665645381935,16.368621272108697,0.8001388192650394
2022Q3,2485.30293082199,330.711,479.924,2022-09-30,7.515029529776722,5.178534373821667,463.38090630103574,321.01939799331103,254.1975403535742,182.29165618852937,144.34669966912435,4.901891944057857,2.7052129009615067
2023Q1,2489.1302060530497,337.689,494.557,2023-03-31,7.371072809754092,5.0330501965456955,464.0944958772752,330.80735785953175,259.5611068408917,178.79970598282299,140.29146717901602,-0.5672714570016169,5.725402169846627
2023Q3,2551.9762824571494,340.411,502.741,2023-09-30,7.496750347248325,5.076125246314006,475.81205009589286,336.2816053511706,261.6533435818601,181.8482590676437,141.49214305046928,-6.1769498339071855,7.589502586260388
2024Q1,2679.6433625939103,347.857,504.951,2024-03-31,7.703290037555404,5.306739391730901,499.615380693911,337.75986622073583,267.3766333589547,186.85828092658136,147.92029209515317,13.106750710613447,7.31559585062771
2024Q3,2655.63886729034,348.977,511.267,2024-09-30,7.60978192628838,5.194230934698191,495.13977949008165,341.9846153846154,268.23750960799384,184.590059836779,144.78422631182377,6.853729352502436,6.530825714071398
